   ;ENTREPRISE;CODE_SEC;VILLE_SIEGE;ADRESSE;TEL;FAX
6063;STE MS ELITES;S.DIV;KEF;1er Etage Pépiniere d'entreprise, Espase ISET Campus universitaire;20 367 000;78 238 111
6064;SOCIETE D'ELECTRONIQUE ET D'AUTOMATISME;S.DIV;MANOUBA;400, AV Khaled Ibn El Oualid Douar Hicher;71 620 245;71 620 250
6065;PARC D'ACTIVITES ECONOMIQUES DE ZARZIS;S.DIV;MEDENINE;BP 40 Port Commercial de Zarzis;75 694 800;75 692 630
6066;SOCIETE COLLECTION PRIVEE;S.DIV;MONASTIR;Avenue Ali Belhouane Sahline;73 527 852;73 527 845
6067;SOCIETE GLOBAL SOURCING;S.DIV;MONASTIR;Boulevard de l'environnement BP 84 Ksibet Mediouni;73 550 287;73 550 286
6068;BCH;S.DIV;NABEUL;Z.I  GROMBALIA;72 257 674;72 256 355
6069;DYNAMO CONTACT CENTER;S.DIV;SELIANA;CYBER PARC Boulevard de l'environnement;78 871 100;78 872 787
6070;AGENCE SANG NEUF;S.DIV;SFAX;avenue majida boulila, Immeuble Zephyr, 5ème etage;74 407 455;74 407 456
6071;INDEPENDANT INSPECTION TUBULAR SERVICES-IITS;S.DIV;SFAX;AV 14 janvier Imm donia 3C1;74 416 576;
6072;SOCIETE MELLOULI DE TRAVAUX DE MAINTENANCE - SMTM;S.DIV;SFAX;Route de Gabes km 1.5 rue de Bairouni;74 467 045;74 467 046
6073;SOCIETE SYMPHONY;S.DIV;SFAX;Route de Teniour Km3 Impasse Georgy Zaydane;74 203 000;74 225 540
6074;ZOUARI SERVICES;S.DIV;SFAX;Avenue Majida Boulila Immeuble Zéphir Bureau N°12;74 490 920/98413708;74 405 222
6075;BUANDERIE BARGOU FETHI;S.DIV;SOUSSE;Rue Imem EL Hambali Messaadine Msaken;73 323 615;73 323 615
6076;SOCIETE DU POLE DE COMPETITIVITE DE SOUSSE;S.DIV;SOUSSE;Technopole de Sousse;73 367 753;73 367 754
6077;ADVANCIA TELE SERVICES;S.DIV;TUNIS;Le Kram;71163000;71163020
6078;ALMAVIVA TUNISIE  (Ex COS TUNISIE);S.DIV;TUNIS;7 Rue Docteur BURNET Mutuelle ville;70 103 737;70 838 171
6079;CABINET RAFIK BELKAHLA;S.DIV;TUNIS;7, Rue Alyssa Menzah 6;71751333;71233667
6080;EPAC TECHNOLOGIES;S.DIV;TUNIS;Imm le 45 Rue du Japon Monplaisir;;
6081;EXPERT CALL CENTER ECC;S.DIV;TUNIS;15 bis, Rue 8602 ZI Charguia 1;71 808 425;71 809 694
6082;GRIFFON;S.DIV;TUNIS;Rue 8612 Z.I Charguia I;71 847 049;71 846 771
6083;ICQ MED;S.DIV;TUNIS;A33 résidence Fayrouz Lac II;71 182 094;71 182 124
6084;MAGHREB MEDIA REALITES;S.DIV;TUNIS;85 RUE DE PALESTINE;71 795 140;71 787 160
6085;MIG ENGINEERING;S.DIV;TUNIS;Imm Jugurtha rue du lac Lémam Les berges du Lac;71 862 880;71 862 912
6086;MOHAMED AMINE GHROUBI;S.DIV;TUNIS;71 rue Alain Savary B12;70 033 093;71 947 442
6087;POWERCALL;S.DIV;TUNIS;Impasse 5 Rue 8612 - 2ième étage Charguia 1;71 808 390;71 808 144
6088;SOCIETE BIEN VU;S.DIV;TUNIS;29, Avenue de Paris;71 345 777/71354000;71 257 234/71341001
6089;SOCIETE CONNECTION;S.DIV;TUNIS;39, Rue Tarek Ibn Zied Mutuelle Ville;98 344 361;71 809 605
6090;SOCIETE ECLOSION;S.DIV;TUNIS;Résidence Omar Bloca 4 ième étage Bureau A4-1 1073 Monplaisir Tunis;71953960;71953966
6091;SOCIETE FASHION SERVICE TUNISIE;S.DIV;TUNIS;Avenue Charles Nicole Imm Intilak App 22 Cité Mahrajène;71 891 126;71 285 291
6092;SOCIETE FINANCE TEAM;S.DIV;TUNIS;3 Rue fadhaila nachi Manar 2;71 881 173;71 881 105
6093;SOCIETE MEDCLIM;S.DIV;TUNIS;48 rue de Neger;71 903 344;71 904 744
6094;SOCIETE PHONE ACT;S.DIV;TUNIS;"6 rue des entrepreneurs
2035 Charguia II â¿¿ Ariana";70839860;70839861
6095;SOCIETE PHONE SERVICES;S.DIV;TUNIS;14 Rue Imem Abou Hanifa 2ème étage B6 La Marsa;24 750 774;70 831 819
6096;SOCIETE PROXITEL COMMUNICATION TUNISIE;S.DIV;TUNIS;Immeuble Cortix Rue lac d'annecy  les berges du lac;71 962 417;71 962 417
6097;SOCIETE TH COM;S.DIV;TUNIS;Ennour Bulding Cité Des Sciences BP 200;71 232 111;71 750 333
6098;SOCIETE TRANS'ART( EX SOCIETE FENIRA SHAHRAZED NEE ELLILI);S.DIV;TUNIS;Rue Letonie N° 13 Bab Sâadoun;71 572 634;71 570 969
6099;SOCIETE TUNIS VOCAL SERVICES - TVS;S.DIV;TUNIS;Colisée Soula, Escalier D, 5ème étage EL MANAR;71 872 430;71 883 160
6100;"STE OUT SOURCING ""CALL CENTER""";S.DIV;TUNIS;46 Avenue Kheireddine Pacha Montplaisir;71 905 512;71 902 529
6101;TRACY COMMUNICATION;S.DIV;TUNIS;Immeuble AZIZ - A5 - MONPLAISIR;71 953 852/71901856;71 802 919/71951904
6102;INDUSTRIAL RISK ASSESSMENT AND MANAGEMENT - IRAM;S.DIV;ZAGHOUAN;B.P 277 Av habib bourguiba Hammem Zriba;98675608/26675608;
6103;ACEF EXPERT;S.ECA;ARIANA;63 Rue Madinet El Moussel;71 811 477/98427049;71 811 241
6104;ACT INTERNATIONAL;S.ECA;ARIANA;Résidence Rihab 5 bloc B apt B42 Riadh andalous;70 934 573;70 934 574
6105;ACTIVE CONSULTING & TRAINING - ACT CONSULT;S.ECA;ARIANA;Résidence Rihab 5 bloc B apt B42 Riadh Al Andalous;70 934 573;70 934 574
6106;AEROCONSEIL TUNISIE;S.ECA;ARIANA;Pôle El Ghazela Technologies Communication RAOUED;70 104 600;70 104 601
6107;APPCON TECHNOLOGIES;S.ECA;ARIANA;Pole El ghazala des technologies de la communication;70834890;71859595
6108;ASSISTANCE COMPTABLE EXTERNALISATION-A.C.E;S.ECA;ARIANA;Rue Amir Abdelkader cité amir b 18 Menzah 7;71 234 490;71 766 904
6109;AUDIT CONSEIL ET ASSISTANCE- ATEF AZIZI;S.ECA;ARIANA;29 Avenue de l'indépendance résidence Mariem Bloc B N°418;70 732 677;70 732 677
6110;BFI INTERNATIONAL;S.ECA;ARIANA;5 Rue d'Argentine;71 961 033;71 962 784
6111;BOUASSIDA & ASSOCIES;S.ECA;ARIANA;10 Avenue Hédi Nouira ENNASR;71 816 300;71 816 160
6112;CABINET HASSEN BOUGHARIOU;S.ECA;ARIANA;1 Bis Rue André Ampère Imm. Nour, Bureau n°1;71 709 306;71 708 438
6113;CABINET SAMI BOUASSIDA;S.ECA;ARIANA;B6-Immeuble Essafa-Avenue Hédi Nouira- EnnassrII;71 816 300;71 816 160
6114;CABINET SLIM OUANES;S.ECA;ARIANA;89 Avenue Habib Bourguiba;71 709 610;71 719 048
6115;CAMI ENGINEERING SUARL;S.ECA;ARIANA;85 Hédi Noura résidence Jinene Ennasr II;71 814 180;71 814 210
6116;DAMAK ZIED;S.ECA;ARIANA;29 Avenue de l'indépendance résidence Meriem bloc B bureau 17;36 174 136/21 431 73;
6117;ECO-PRESENCE INTERNATIONAL;S.ECA;ARIANA;Résidence Erriadh C4 Avenue de la nouvelle ère Ennasr 2;71 827 287;71 827 287
6118;ELECTRIC PLUS;S.ECA;ARIANA;1 Bis, Avenue Andre Ampera Imm Nour;71 719 160;71 719 615
6119;ELLOUMI MOHAMED MONCEF;S.ECA;ARIANA;8 Rue Ibn Arfa El Menzeh 8;25 855 025;
6120;ENTREPRISE BEN AYED MOHAMED SALAH;S.ECA;ARIANA;14, rue des hortensias Nouvelle Ariana;71 713 017;71 713 922
6121;ENVIRONMENTAL ASSESSMENT ET MANAGEMENT-EAM;S.ECA;ARIANA;B2-11 le cercle des bureaux centre Urbain nord;71 953 821/71947797;71 953 841/71947398
6122;GENERALE GEOSCIENCES SERVICES;S.ECA;ARIANA;"03, Rue Hasdrubal, Appt. NÂ°1
El Ghazala - Ariana ";71757759;71757936
6123;GOODWILL CONSULTING;S.ECA;ARIANA;Résidence Tunis Carthage bloc D 5éme étage app n°28;71 701 145/71757257;
6124;INSTITUT DE LA QUALITE TOTALE - IQUAT;S.ECA;ARIANA;3 Avenue Taieb M'Hiri Complexe Forum Bloc A App 43;71 700 600;71 701 038
6125;SERVICED;S.ECA;ARIANA;12 Rue de la liberté, El Menzah V;71 232 649;71 751 914
6126;SOCIETE ABC AUDIT & CONSEILS;S.ECA;ARIANA;Rue des Entrepreneurs, immeuble HERTZ, Charguia II;70 838 600;71 942 177
6127;SOCIETE AHMED TAHAR CONSULTING;S.ECA;ARIANA;1 Rue Khaled agrebi;71 723 990;70 731 561
6128;SOCIETE ARCHIDOC;S.ECA;ARIANA;9 Bis Rue du Niger;71 848 990/70687119;71 846 282/70685311
6129;SOCIETE BAHRI GROUPE HOLDING;S.ECA;ARIANA;Bloc commercial MURANO Bureau B2 Avenue Fattouma Bourguiba;70 691 010;70 691 333
6130;SOCIETE DE CONTROLE TECHNIQUE ET D'INSPECTION - SERTEC;S.ECA;ARIANA;Rue du métal, ZI CHARGUIA;70 837 899;70 837 399
6131;SOCIETE ELF CONSEIL;S.ECA;ARIANA;Avenue Hédi Nouira Résidence Mimosa 1 B2 ENNASR 2;71 829 377;71 829 393
6132;SOCIETE ESSAYEH FAYCEL - GEOHYDRO;S.ECA;ARIANA;1 Bis Rue Khaled Agrebi;71 718 504;70 730 076
6133;SOCIETE HESTYA TUNISIE;S.ECA;ARIANA;87 Avenue Moaouia Ibn Abi Sofiene Menzah 6;71 767 520;71 237 104
6134;SOCIETE IMAC;S.ECA;ARIANA;49 Avenue de l'UMA Immeuble El EMIRA FATMA 2ème Etage;70 839 383;70 839 353
6135;SOCIETE MERITCERT ( ex. INTERNATIONAL LABELLISATION ET QUALIFICATION - ILAQ);S.ECA;ARIANA;Rue Belhassen Jerad N°11;71 723 942;71 703 750
6136;SOCIETE OPTIMAX;S.ECA;ARIANA;11, Rue Belhassen Jerad;71 723 932;71 703 750
6137;SOCIETE SAPHIR CONSULT;S.ECA;ARIANA;15 Rue Mohamed HLIOUI;71 750 212;71 236 315
6138;SOCIETE SEMATGT;S.ECA;ARIANA;154 Avenue Hédi Nouira Ennasr 2;70 850 575;70 850 576
6139;SOCIETE SFM TELECOM;S.ECA;ARIANA;8 Rue Ibn Sina EL Menzah 6;71 284 314;71 284 314
6140;SOCIETE TALENCE CERTIFICATION (EX PROCERT);S.ECA;ARIANA;Rue Belhassen Jerad N° 11;71 723 942;71 703 750
6141;SOCIETE TUNISIENNE D'INGENIERIE - STUDI;S.ECA;ARIANA;ZI Charguia Rue des Métiers N° 2;71 702 511;70 837 112
6142;SOGECLAIR AEROSPACE;S.ECA;ARIANA;Pôle technologique El Ghazala BP N° 134;71 857 601;71 857 506
6143;UNITED EXPERTS;S.ECA;ARIANA;22 Avenue Taieb Mhiri Residence Yasmine;71 708 970;71 707 776
6144;YASSINE MARINE SERVICES - Y M S;S.ECA;ARIANA;89 Avenue Habib Bourguiba Bureau 1-5;71 709 688;71 710 565
6145;3SG MEDIA/OMD;S.ECA;ARIANA;41 Rue Maebella Riadh Andalous;70 822 294;70 822 300
6146;BUREAU CONSEIL EN MANAGEMENT ET ASSISTANCE COMPTABLE;S.ECA;BEN AROUS;59 Imm Nafti avenue de France;71 388 525;71 385 276
6147;CABINET CFAC;S.ECA;BEN AROUS;Résidence Salma Appt A4 Avenue de Mahdia El Mourouj1;71 369 760;71 369 848
6148;CABINET RIDHA OUHIBI;S.ECA;BEN AROUS;2 Rue El Khoutaf, Bloc A -  MEGRINE;71 432 647;71 432 785
6149;CHEMICAL & FERTILIZER INDUSTRY AFRICA - CFIA;S.ECA;BEN AROUS;"ZONE INDUSTRIELLE SAINT GOBAIN
MEGRINE ";71297786;71425641
6150;CORETEX;S.ECA;BEN AROUS;ZI SMMT Saint Gobain Rue Farabi MEGRINE;71 296 023;71 295 672
6151;IMED KHALIFA;S.ECA;BEN AROUS;Résidence CHEBBI  immeuble N° 47- Apt 2-1  mourouj 1;71363058;71363054
6152;MANAGEMENT BUSINESS & CONSULTING;S.ECA;BEN AROUS;9 Rue maghreb arabe;71 425 500;71 432 647
6153;PENTABELL;S.ECA;BEN AROUS;Résidence Yesmine A1-3 Avenue de l'indépendance Boumhal El bassatine;71 860 181;
6154;SOCIETE D APLICATION HYDRAULIQUES -APLICO;S.ECA;BEN AROUS;Zone Industrielle Foundouk Choucha BP 82;71 434 245;71 434  609
6155;SOCIETE DE TRI ET DE RETOUCHE - STR;S.ECA;BEN AROUS;Rue Abderrahmen Bahri Boumhal;28 585 706/28885706;79 484 554
6156;SOCIETE D'ETUDE ET ASSISTANCE -SEAS;S.ECA;BEN AROUS;10 rue ali ben ayed;71 442 137;71 445 395
6157;SOCIETE FOOD QUALITY;S.ECA;BEN AROUS;Z4 ZI Saint Gobain Rue Ibn Abi Dhief Megrine;71 297 719;71 297 759
6158;SOCIETE FORACO;S.ECA;BEN AROUS;22 Bis Rue Nablouss;71 334 112;71 333 809
6159;SOCIETE MEDITERRANEENNE D'EXPERTISES ET MESURES- MEM;S.ECA;BEN AROUS;8 Rue de la Teinturerie, ZI Sidi Rezig;71 296 881;71 429 386
6160;SOCIETE POULINA GROUP HOLDING;S.ECA;BEN AROUS;GP 1 Km 12 Ezzahra;71 454 545;71 452 534
6161;SOCIETE VENDAS;S.ECA;BEN AROUS;58 Avenue Habib Bourguiba MEGRINE;71 433 095;71 487 372
6162;SOLTECH;S.ECA;BEN AROUS;48 Avenue de paris 2ém étage Mégrine;71 425 661;71 426 672
6163;CENTRE DE LA CERAMIQUE ET DE LA CONSTRUCTION;S.ECA;BIZERTE;Z.I GHEZALA;72487021;72487027
6164;CERMED;S.ECA;BIZERTE;Centre commercial DR app A6 place 13 janvier;72 438 208;
6165;MEDITERRANEAN CONSULTING;S.ECA;BIZERTE;Centre commercial DR app A6 place 13 janvier 1952;72 438208;
6166;M2P MONTAGE DE PROJET ET PILOTAGE DES ORGANISATIONS;S.ECA;BIZERTE;60 Avenue Bourguiba;72 44 38 96;
6167;ENGENIERING CONSTRUCTION MANGEMENT PLUS - ECM+;S.ECA;GABES;Rue de Lac Malaram Immeuble Iris 3 ème étage, Berges du Lac;71 965 765;71 965 780
6168;ENGINEERING MANAGEMENT CONTRACTING - EMC;S.ECA;GABES;3 bis rue delilas jardin de l'Aouina nord;70 737 562;70 737 587
6169;OASIS CONTROLE;S.ECA;GABES;Avenue de l'enveronnement El Hamma;75 335 860;75 335 860
6170;POLE DE COMPETITIVITE DE GAFSA;S.ECA;GAFSA;Karaouli centre bloc A 6 étage;76 224 080;76 224 086
6171;BUANDERIE DU NORD;S.ECA;MAHDIA;Avenue Habib Bourguiba BP N° 1;73 688 959;73 688 897
6172;NARJES BEN YAHIA;S.ECA;MANOUBA;36 avenue de l'indépendance étage 2 A2;71 604 075/23273131;71604075
6173;SOCIETE HYDROSOL FONDATIONS;S.ECA;MANOUBA;Rue Haroun Errachid Z I Ksar Saïd;71 650 360;71 650 434
6174;SOCIETE SMART CONTROL;S.ECA;MANOUBA;7 Rue Commandant El Bejeoui Menzah 5;71 231 735/29576360;71 231 745
6175;BOUGARES HEDI;S.ECA;MEDENINE;Imm sahbi mnifi 1er étage cité ezzouhour;75 647 291;75647 291
6176;GLOBAL PROJECTS SERVICES-GPS;S.ECA;MEDENINE;Imm du Parc, 6Rue Lucie Faure;71 349 090;71 963 992
6177;FIBRES TECHNOLOGY;S.ECA;MONASTIR;Route de Sidi Mansour km 10;73 454 097;
6178;SAMI NABIL;S.ECA;MONASTIR;Bir el hajj Teboulba;73 402 424;73 402 425
6179;SOCIETE BEST CONTROL;S.ECA;MONASTIR;Route de la Falaise - Skanes;78 608 765;78 608 772
6180;SOCIETE D'ASSISTANCE ET DE COMMERCE - S.A.C;S.ECA;MONASTIR;Immeuble Chraka - Esc. B 1er Etage;73 463 207;73 464 382
6181;SOCIETE ELLIPSE;S.ECA;MONASTIR;Immeuble Mhalla;73 466 233;73 466 233
6182;SOCIETE INTERNATIONAL ASSISTANCE - SIA;S.ECA;MONASTIR;Immeuble Chraka Escalier B 1er Etage;73 463 207;73 464 382
6183;SOCIETE LABOTEX;S.ECA;MONASTIR;Rue Abou Taleb Oued El Amma Ksar Hellal;73 540 205//73547220;73 540 205/73547220
6184;SOCIETE MM SERVICES;S.ECA;MONASTIR;Imm Dar El Tabib;73 425 866;73 425 866
6185;ASSISTANCE INFORMATIQUE ET COMPTABLE - OMHANI GHANEM;S.ECA;NABEUL;Complexe commercial Béni Khalled;72 372 455;72 372 400
6186;CABINET MOHAMED ANIS AISSA;S.ECA;NABEUL;Avenue Hedi Chaker Imm Zina 2 ème étage;72 232 930;72 232 770
6187;CENTRE METALLURGIQUE DES ESSAIS MECANIQUES-CMEM;S.ECA;NABEUL;El machrouha Bou-arguob;72 203 710;72 203 878
6188;GASMI CHAOUKI COFF ASSISTANCE;S.ECA;NABEUL;AV Farhat hached Korba;72 389 557;72 387 022
6189;HIS ASSISTANCE;S.ECA;NABEUL;17 rue Youghorta;26 615 076;
6190;MASTER AND PROFESSIONAL CONSULTING;S.ECA;NABEUL;51 Rue El Akaba La Corniche;72 278 013;72 279 038
6191;SOCIETE ABASSI CONSEIL;S.ECA;NABEUL;01 Rue El Msatra;72 222 985;
6192;SOCIETE ASTRA ALL SERVICE COMPANY;S.ECA;NABEUL;Rue Mastra;;
6193;SOCIETE CARD SERVICE;S.ECA;NABEUL;001 Msetra Imm Ltaief;;
6194;SOCIETE MECATER INGENIERIE;S.ECA;NABEUL;Immeuble Alizé, 5 rue ibn Zohr ZA Kheyreddine , LE KRAM;71180022;71180021
6195;SOCIETE SERVICES JURID & CONSEIL FINANCE-SJCF;S.ECA;NABEUL;AV de la République;72 222985/98553997;72222985
6196;SOCIETE VOULABE;S.ECA;NABEUL;Boulvard Hedi Kfacha;21 920 418/417;
6197;ABS TUBULAR INSPECTION NORTH AFRICA;S.ECA;SFAX;Route gremda km 1.5 sfax KASSAS 5 Immeuble hosna 6eme etage N2;74 441 305;74 441 440
6198;ANIS YAICH;S.ECA;SFAX;Route de Téniour Km 1.5 Imm Ramia;74 236 944;74 236 878
6199;CABINET AYADI MOHAMED;S.ECA;SFAX;Route de Gremda Km0.5 Imm. Essour Center 2 ème étage Appt 24;74 400 542;74 401 273
6200;CABINET BACEM DAMAK;S.ECA;SFAX;Rue Anatole France Imm. Intilaka Centre bloc b 2ème Etage;74 225 577;74 225 599
6201;CABINET KARIM AMOUS;S.ECA;SFAX;Av. Habib Bourguiba Imm. Manar Esc. A;74 222 239;74 297 409
6202;CGE CONSULT;S.ECA;SFAX;Immeuble Ennafoura App 4 - 6;74 406 325;74 406 921
6203;GASSAR POUR CONCEPTION METALLIQUE - GCM;S.ECA;SFAX;Route el ain km 5.5 résidence zahra;74 655 955;74 655 621
6204;GHARSALLAH ABDELMAJID-SYNERGIE QUALITE;S.ECA;SFAX;Route se soukra km 2 rue 586 BP 135 Sfax Maghrab Arabe;74 461 171;74 461 183
6205;NADHEM BARADAA - N CONSULTING;S.ECA;SFAX;Rue Manzel chaker km 2.5 nouvelle impasse;74 200 066;74 200 066
6206;POWER ENGINEERING PROCUREMENT AND CONSTRUCTION CONTRACTOR - PEPCCO;S.ECA;SFAX;Rue d'archimde ZI Bouderiere I Sfax Tunisie;74287720;74287721
6207;PREVENTIS CONSULTING;S.ECA;SFAX;Rue de Abou El hassan Ellakhmi Immeuble LINA 1er Ã©tage App NÂ°11 -SFAX- TUNISIE;74405145;74405146
6208;PRO EXPERTISE;S.ECA;SFAX;AV 14 janvier Imm Ibn khaldoun bloc D app 7;74 406 900;74 405 850
6209;PROCESS INSPECTION & CONTROL - PIC (EX: PTG);S.ECA;SFAX;Route El Ain Km 4 imm Rawdhane;74 610 640;74 610 644
6210;SOCIETE CMK AUDITS ET CONSEILS ET EVALUATIONS;S.ECA;SFAX;Rue Mohamed Jammoussi Imm Tamaris 2 eme étage;74 210 800;74 210 924
6211;SOCIETE DQS INT;S.ECA;SFAX;Avenue de carthage, Jebli centre A301;74 419 315;74 419 314
6212;SOCIETE EURO MAGHREB CONSULTING;S.ECA;SFAX;Route Sidi Mansour Km 8 Cité El Mansoura;74 272 588;74 272 588
6213;SOCIETE FOOD SAFETY;S.ECA;SFAX;97 Avenue 5 Août Moulin Ville;74 299 140;74 299 144
6214;SOCIETE GENERALE D'INSPECTION - SGI;S.ECA;SFAX;AV. sakiet Sidi Youssif N° 29 Gremda;74 404 032;74 404 082
6215;SOCIETE INDUSTRIAL ENGINEERING TECHNOLOGIES - IET;S.ECA;SFAX;Rue Mohamed Hédi Khefacha;74 497 120//606;74497155//74498220
6216;SOCIETE INTER SEA MAGHREB - ISM;S.ECA;SFAX;9 Rue Mongi Bali Sfax;74 299 710;74 225 530
6217;SOCIETE INTERNATIONALE DE CONTROLE TECHNIQUE ET D'EXPERTISE - INTER CONTROL;S.ECA;SFAX;Route Gremda Km 0.2 Imm Ibn Zohr;74 403 782;74 403 784
6218;SOCIETE METAL CONCEPT;S.ECA;SFAX;Immeuble Ikram Route Kayed M'hamed Km 2;74 282 101;74 282 410
6219;SOCIETE SIGMA CONSULTING;S.ECA;SFAX;Avenue Majida Boulila Imm Abdelkafi Etage 2 A3;74 402 930;74 403 930
6220;SOCIETE TECHNOCAL;S.ECA;SFAX;127 rue essalem elbosten;74 439 334;74 439 335
6221;SOCIETE TUBOSER OIL FIELD INSPECTION SERVICES;S.ECA;SFAX;Route de Tunis Km 2 Rue El Bousten N° 8;74 239 878;74 239 893
6222;SOCIETE VALTECT;S.ECA;SFAX;Aenue farhat Hached Imm Nada App N°4  à côté Hôpital Ramla kerkenneh;74 287 720;74 287 721
6223;STEEL CONCEPT;S.ECA;SFAX;15 AVENUE MAJIDA BOULILA IMM TAOUFIK N°18 SFAX;74418381;74405850
6224;TEEM ENGINEERING;S.ECA;SFAX;Route de téniour km 9;74 848 298;74 848 460
6225;ZOUHAIER MARRAKCHI CONSULTING - ZMC;S.ECA;SFAX;Avenue Sidi Lakhmi Residence El Ferdaws B N°3;74 406 418;74 406 419
6226;BUREAU GHANNOUCHI LAROUSSI;S.ECA;SOUSSE;2 Rue Belajouza;73 215 640;73 220 043
6227;SOCIETE ENER;S.ECA;SOUSSE;Route de Kairouan, Sidi El Hani Central;73280082;73280082
6228;WORLD TECHNICAL INSPECTION;S.ECA;SOUSSE;Rue Habib Thameur imm kayate;73 203 440;71 203 442
6229;YAMAICHI ELECTRONICS TUNISIE;S.ECA;SOUSSE;Technopole de Sousse;73 821 314;73 821 313
6230;SALAH CONTRACTORS;S.ECA;TATAOUINE;Route de Gabes km77 Skhira;99 368 613/74497261;74497768
6231;TUV AUSTRIA TUNISIA;S.ECA;TATAOUINE;01 Rue Al Khansaa;75854783;75854739
6232; NETWORK EXPERTISE TELCABO TUNISIA;S.ECA;TUNIS;Avenue Mosbah jarbou Manar 1;71 882 832;71 872 903
6233;ALL SERVICE TUNISIA;S.ECA;TUNIS;Rue du Lac lymen Imm Regency les Berges Du lac;21 570 340;
6234;ALLCAD;S.ECA;TUNIS;4 Bis place Ali Aouaoui Thameur;71 856 436;
6235;AMA;S.ECA;TUNIS;Imm Morjane 2 B6 citée mahrajane El Menzah;71 841 346;71 890 110
6236;AMILCAR INTERNATIONAL;S.ECA;TUNIS;41 Rue El Akhtal El Menzah 1;71 230 428;71 750 851
6237;APROQUEM;S.ECA;TUNIS;10, Rue du Brésil;71 796 360;71 796 121
6238;ARTS & METIERS INTERNATIONAL CONSULTING;S.ECA;TUNIS;Immeuble Saadi tour C, Apt C5/C6;71 705 135;71 705 408
6239;ATTIAS GROUP TUNISIE;S.ECA;TUNIS;Lotissement jinène Eddonia N° 143 Sidi Daoued;70 939 888;70 938 877
6240;AUDIT & ACCOUNTING COMPANY;S.ECA;TUNIS;9 rue Haroun Errachid Mutelleville;71 894 328;71 894 341
6241;AUDIT RISK CONSULTING;S.ECA;TUNIS;AV de Japon tour Narcisse 5 étage B3 Monplaisir;71 908 502;71 906 411
6242;AWT AUDIT ET CONSEIL;S.ECA;TUNIS;3 Avenue Louis Braille;71 904 040;71 902 118
6243;BADIS;S.ECA;TUNIS;11 Rue Apulée - Notre Dame;71 800 300;71 800 880
6244;BDO AFRIC AUDIT;S.ECA;TUNIS;Immeuble Ennour Bulding 3ème étage Centre Urbain Nord Mahrajène;71 754  903;71 753 153
6245;BLUE REFLEX;S.ECA;TUNIS;1, Rue Victor Hugo;71 774 244;71 774 122
6246;BOUCHAMAOUI A&R INDUSTRIES;S.ECA;TUNIS;55 Rue 8600 Z.I Charguia I;71206 850;71 206 855
6247;BRAHIM KAHLI;S.ECA;TUNIS;04 rue Benghazi Lafayette;71 842 437;71 799 790
6248;BUILDING DESIGN ENGINEERING AND CONSULTING- BDEC;S.ECA;TUNIS;Imm Safsaf A12 Monplaisir;71 904 240;71 904 240
6249;BUREAU DES ETUDES TECHNIQUES ET INDUSTRIELLES DE CONSTRUCTION-BETIC;S.ECA;TUNIS;Cité les olympiades Bloc 14 App 188;71 890 886;71 786 417
6250;BUREAU TUNISIEN DES ETUDES - B.T.E;S.ECA;TUNIS;Colisé Soula 5 ième étage Manar II;70 861 703;70 861 695
6251;BUSINESS & FINANCIAL CONSULTING;S.ECA;TUNIS;24 Rue Abdelaziz Thaalbi, El Menzah 9;71875485;71875851
6252;CABINET D'ETUDES TOPOGRAPHIQUES SADOK BEN ALLALA;S.ECA;TUNIS;4 Rue Joubeil Immeuble Nakhil 2 El Menzah 1;71 237 675;71 755 051
6253;CABINET MAHMOUD ZAHAF;S.ECA;TUNIS;RUE DU LAC TOBA LES BERGES DU LAC;71 962 579;71 962 595
6254;CABINET MS LOUZIR;S.ECA;TUNIS;Résidence Lac 2001 Tanit Bloc A les Berges du Lac;71 861 591;71 861 285
6255;CABINET SALAH DHIBI;S.ECA;TUNIS;92 Rue 8600 Charguia;71 770 745;71 771 266
6256;CABINET SLIM EL FEKIH;S.ECA;TUNIS;Boulevard 7 novembre International city center Tour des bureax 4 ième étage Bureau n°E4-B04;70 728 434;70 728 445
6257;CABINET STAMBOULI RAFI;S.ECA;TUNIS;71 Avenue Alain Savary;71 770 890;71 772 197
6258;CAO - COMMISSARIATS AUDIT & ORGANISATION;S.ECA;TUNIS;3, Rue Essaadi;71 753 620;71 753 591
6259;CENTRE DE DEVELOPPEMENT INTERNATIONAL POUR LA GOUVERNANCE LOCALE INNOVANTE;S.ECA;TUNIS;Imm iris rue du lac Malaren 3ème étage les Berges du Lac;71 860 245;71 860 242
6260;CERES CONSEIL;S.ECA;TUNIS;6 Avenue Abderrahmane Azzam;71 782 033;71 727 516
6261;CHARTERED ACCOUNTANTS PARTNERS INTERNATIONAL - CAP INTERNATIONAL;S.ECA;TUNIS;B 21 Imm titanium rue de l'ile de Djerba les berges du Lac II;70 039 059;71 192 112
6262;CONSULTING GROUP INTERNATIONAL NETWORK;S.ECA;TUNIS;Ennour Building Cité des sciences Centre Urbain Nord;71 766 866;71 766 966
6263;CONTROLE UNION TUNISIE;S.ECA;TUNIS;12 Rue Mouaouia Ibn Abi Sofiène;71 841 132;71 846 981
6264;DB VIB CONSULTING;S.ECA;TUNIS;2 Rue des Pommes Appartement A21 Résidence Erriadh 2092 El Manar 1 Tunis;71 874 123;71 873 755
6265;EAGLES TECHNOLOGIES;S.ECA;TUNIS;Imm junior rue du lac Tanganyika les berges du lac;71 963 626;71 963 926
